"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Kentucky","Carter",2024,187,167,20,0,0,0,0,62,51,36,0,0,99,83,5
"Kentucky","Christian",2024,181,146,35,0,0,0,0,80,54,42,0,0,81,100,0
"Kentucky","Edmonson",2024,243,222,21,0,0,0,0,77,50,40,0,0,236,7,0
"Kentucky","Fayette",2024,187,158,29,0,0,0,0,77,53,40,0,3,96,83,5
"Kentucky","Greenup",2024,120,115,5,0,0,0,0,74,47,38,0,0,120,0,0
"Kentucky","Hancock",2024,107,94,13,0,0,0,0,100,51,43,0,0,107,0,0
"Kentucky","Hardin",2024,154,129,25,0,0,0,0,67,53,41,0,0,73,81,0
"Kentucky","Jefferson",2024,183,103,77,2,1,0,0,156,64,49,1,4,81,97,0
"Kentucky","Jessamine",2024,122,108,14,0,0,0,0,93,51,43,0,0,122,0,0
"Kentucky","Livingston",2024,122,115,7,0,0,0,0,90,49,42,0,0,122,0,0
"Kentucky","McCracken",2024,179,138,40,1,0,0,0,101,54,43,0,6,82,91,0
"Kentucky","Morgan",2024,243,224,19,0,0,0,0,64,49,40,0,0,243,0,0
"Kentucky","Oldham",2024,122,103,19,0,0,0,0,93,58,42,0,0,122,0,0
"Kentucky","Perry",2024,168,136,31,1,0,0,0,117,56,42,0,0,89,79,0
"Kentucky","Pike",2024,182,158,24,0,0,0,0,70,53,38,0,0,97,85,0
"Kentucky","Pulaski",2024,182,147,35,0,0,0,0,68,55,42,0,0,85,97,0
"Kentucky","Simpson",2024,119,100,19,0,0,0,0,93,54,43,0,0,119,0,0
"Kentucky","Warren",2024,180,146,34,0,0,0,0,87,55,39,0,0,79,101,0
"Kentucky","Washington",2024,227,202,25,0,0,0,0,74,51,41,0,0,227,0,0
"Louisiana","Ascension",2024,303,273,27,2,1,0,0,151,50,34,0,10,293,0,0
"Louisiana","Bossier",2024,303,152,148,3,0,0,0,111,67,50,0,0,100,189,14
"Louisiana","Caddo",2024,295,244,50,1,0,0,0,101,55,41,0,0,250,45,0
"Louisiana","Calcasieu",2024,305,154,147,4,0,0,0,147,65,50,0,0,106,199,0
"Louisiana","East Baton Rouge",2024,305,144,154,6,1,0,0,154,74,51,0,0,117,188,0
"Louisiana","Iberville",2024,305,227,69,8,1,0,0,159,74,43,0,1,279,25,0
"Louisiana","Jefferson",2024,305,179,125,0,1,0,0,188,62,47,0,6,145,154,0
"Louisiana","Lafayette",2024,304,134,168,2,0,0,0,108,63,52,0,0,83,221,0
"Louisiana","Lafourche",2024,301,156,145,0,0,0,0,93,61,50,0,0,69,232,0
"Louisiana","Livingston",2024,305,194,111,0,0,0,0,100,67,44,0,0,160,145,0
"Louisiana","Orleans",2024,306,210,95,1,0,0,0,105,58,41,1,26,0,278,1
"Louisiana","Ouachita",2024,305,247,58,0,0,0,0,97,57,41,0,0,228,77,0
"Louisiana","Pointe Coupee",2024,300,273,26,1,0,0,0,101,50,37,0,0,300,0,0
"Louisiana","Rapides",2024,60,48,11,1,0,0,0,102,57,37,0,0,0,60,0
"Louisiana","St. Bernard",2024,305,182,121,2,0,0,0,138,62,47,0,0,140,165,0
"Louisiana","St. James",2024,302,278,21,3,0,0,0,108,49,33,0,0,302,0,0
"Louisiana","St. John the Baptist",2024,299,260,37,2,0,0,0,105,54,37,0,0,299,0,0
"Louisiana","St. Martin",2024,270,230,39,1,0,0,0,101,61,39,0,0,270,0,0
"Louisiana","St. Tammany",2024,302,231,70,0,1,0,0,186,59,41,0,0,182,120,0
"Louisiana","Tangipahoa",2024,65,33,32,0,0,0,0,77,62,50,0,0,0,65,0
"Louisiana","Terrebonne",2024,61,46,15,0,0,0,0,99,56,36,0,0,0,61,0
"Louisiana","West Baton Rouge",2024,305,157,146,2,0,0,0,101,67,50,0,0,94,211,0
"Maine","Androscoggin",2024,305,281,24,0,0,0,0,77,48,33,0,0,171,132,2
"Maine","Aroostook",2024,274,218,56,0,0,0,0,96,55,37,0,0,106,158,10
"Maine","Cumberland",2024,305,235,69,1,0,0,0,119,58,39,0,0,183,118,4
"Maine","Hancock",2024,275,244,30,1,0,0,0,105,54,39,2,0,256,17,0
"Maine","Kennebec",2024,305,254,51,0,0,0,0,77,53,36,0,0,139,166,0
"Maine","Knox",2024,295,283,12,0,0,0,0,84,44,33,0,0,295,0,0
"Maine","Oxford",2024,305,281,24,0,0,0,0,67,46,32,0,0,186,119,0
"Maine","Penobscot",2024,271,245,26,0,0,0,0,74,49,35,0,0,185,83,3
"Maine","Sagadahoc",2024,202,190,12,0,0,0,0,93,46,35,0,0,202,0,0
"Maine","Washington",2024,272,266,6,0,0,0,0,58,43,35,0,0,237,35,0
"Maine","York",2024,301,286,14,1,0,0,0,129,46,35,0,0,301,0,0
"Maryland","Anne Arundel",2024,220,175,44,1,0,0,0,129,67,42,0,0,204,0,16
"Maryland","Baltimore",2024,305,207,93,5,0,0,0,115,71,44,0,4,224,77,0
"Maryland","Baltimore (City)",2024,304,219,79,6,0,0,0,112,71,42,0,5,215,84,0
"Maryland","Calvert",2024,121,101,20,0,0,0,0,93,51,43,0,0,121,0,0
"Maryland","Carroll",2024,121,91,30,0,0,0,0,93,67,43,0,0,121,0,0
"Maryland","Cecil",2024,305,209,93,3,0,0,0,126,64,44,0,0,182,123,0
"Maryland","Charles",2024,113,101,12,0,0,0,0,90,51,42,0,0,113,0,0
"Maryland","Dorchester",2024,274,219,55,0,0,0,0,84,56,40,0,0,200,74,0
"Maryland","Frederick",2024,121,93,28,0,0,0,0,90,67,44,0,0,121,0,0
"Maryland","Garrett",2024,275,229,46,0,0,0,0,87,56,41,1,0,248,26,0
"Maryland","Harford",2024,304,217,82,4,1,0,0,154,67,43,0,0,232,72,0
"Maryland","Howard",2024,250,208,42,0,0,0,0,75,54,33,3,54,0,193,0
"Maryland","Kent",2024,274,226,47,1,0,0,0,105,56,37,0,0,115,159,0
"Maryland","Montgomery",2024,268,204,64,0,0,0,0,93,61,41,0,0,118,150,0
"Maryland","Prince George's",2024,305,230,72,3,0,0,0,129,71,41,0,9,266,30,0
"Maryland","Washington",2024,305,242,63,0,0,0,0,90,59,41,0,0,231,74,0
"Massachusetts","Barnstable",2024,235,217,17,1,0,0,0,101,48,38,0,0,233,2,0
"Massachusetts","Berkshire",2024,244,194,50,0,0,0,0,97,58,40,0,0,174,70,0
"Massachusetts","Bristol",2024,244,204,38,2,0,0,0,108,58,40,0,0,206,38,0
"Massachusetts","Dukes",2024,240,222,17,1,0,0,0,108,48,39,0,0,238,2,0
"Massachusetts","Essex",2024,244,204,40,0,0,0,0,93,55,38,0,0,192,52,0
"Massachusetts","Franklin",2024,248,197,51,0,0,0,0,93,57,38,0,0,165,83,0
"Massachusetts","Hampden",2024,249,190,57,2,0,0,0,119,61,39,0,4,165,80,0
"Massachusetts","Hampshire",2024,244,207,35,2,0,0,0,112,55,38,0,0,169,75,0
"Massachusetts","Middlesex",2024,244,204,40,0,0,0,0,93,54,38,0,2,181,61,0
"Massachusetts","Norfolk",2024,244,206,38,0,0,0,0,90,57,40,0,0,204,40,0
"Massachusetts","Plymouth",2024,244,204,40,0,0,0,0,97,58,39,0,0,181,63,0
"Massachusetts","Suffolk",2024,255,192,63,0,0,0,0,78,58,38,1,12,104,136,2
"Massachusetts","Worcester",2024,245,210,35,0,0,0,0,90,55,38,1,9,173,60,2
"Michigan","Allegan",2024,274,163,106,4,1,0,0,154,71,48,0,0,128,146,0
"Michigan","Bay",2024,271,203,68,0,0,0,0,73,56,39,0,0,0,271,0
"Michigan","Benzie",2024,214,190,22,2,0,0,0,101,51,38,0,0,214,0,0
"Michigan","Berrien",2024,204,167,36,1,0,0,0,101,61,42,0,0,204,0,0
"Michigan","Cass",2024,214,170,43,1,0,0,0,108,61,42,0,0,214,0,0
"Michigan","Clinton",2024,213,198,15,0,0,0,0,80,49,39,0,0,213,0,0
"Michigan","Genesee",2024,274,197,76,1,0,0,0,119,61,43,0,0,150,124,0
"Michigan","Huron",2024,122,108,14,0,0,0,0,90,51,40,0,0,122,0,0
"Michigan","Ingham",2024,182,141,41,0,0,0,0,85,58,40,0,2,113,67,0
"Michigan","Kalamazoo",2024,182,115,67,0,0,0,0,100,64,45,0,0,82,100,0
"Michigan","Kent",2024,275,132,142,1,0,0,0,112,67,51,1,1,90,183,0
"Michigan","Keweenaw",2024,20,20,0,0,0,0,0,49,38,12,0,0,0,20,0
"Michigan","Lenawee",2024,182,121,61,0,0,0,0,87,62,44,0,0,94,88,0
"Michigan","Macomb",2024,274,185,86,3,0,0,0,115,66,43,0,0,155,119,0
"Michigan","Manistee",2024,121,105,16,0,0,0,0,93,61,41,0,0,121,0,0
"Michigan","Marquette",2024,149,131,18,0,0,0,0,67,52,21,0,0,0,149,0
"Michigan","Mason",2024,213,191,22,0,0,0,0,97,51,37,0,0,213,0,0
"Michigan","Missaukee",2024,273,249,24,0,0,0,0,84,50,37,0,0,238,35,0
"Michigan","Muskegon",2024,212,174,34,4,0,0,0,122,61,40,0,0,212,0,0
"Michigan","Oakland",2024,242,140,101,1,0,0,0,101,74,46,0,0,149,93,0
"Michigan","Ottawa",2024,182,120,61,1,0,0,0,105,64,43,0,0,104,78,0
"Michigan","Schoolcraft",2024,176,167,9,0,0,0,0,87,45,35,0,0,104,72,0
"Michigan","St. Clair",2024,178,127,50,1,0,0,0,105,63,42,0,0,92,86,0
"Michigan","Tuscola",2024,243,217,26,0,0,0,0,84,51,36,0,0,243,0,0
"Michigan","Washtenaw",2024,244,183,61,0,0,0,0,87,62,42,0,0,172,72,0
"Michigan","Wayne",2024,275,112,158,4,1,0,0,152,71,53,1,0,63,211,0
"Michigan","Wexford",2024,243,228,15,0,0,0,0,80,49,37,0,0,243,0,0
"Minnesota","Anoka",2024,182,151,30,1,0,0,0,125,56,42,0,0,128,54,0
"Minnesota","Becker",2024,182,170,11,0,1,0,0,152,47,36,0,0,113,69,0
"Minnesota","Beltrami",2024,182,172,9,0,1,0,0,177,46,36,0,0,114,68,0
"Minnesota","Carlton",2024,182,170,11,1,0,0,0,114,46,36,0,0,112,70,0
"Minnesota","Cass",2024,182,170,11,0,1,0,0,164,41,22,0,0,0,182,0
"Minnesota","Cook",2024,178,174,3,1,0,0,0,138,27,13,0,0,0,178,0
"Minnesota","Crow Wing",2024,182,158,23,1,0,0,0,137,54,38,0,0,115,67,0
"Minnesota","Dakota",2024,183,145,37,0,1,0,0,152,57,29,1,25,0,157,0
"Minnesota","Goodhue",2024,121,108,13,0,0,0,0,67,51,40,0,0,121,0,0
"Minnesota","Hennepin",2024,183,140,40,2,1,0,0,166,61,37,1,4,91,82,5
"Minnesota","Lake",2024,182,177,4,1,0,0,0,110,44,34,0,0,116,66,0
"Minnesota","Lyon",2024,182,154,27,1,0,0,0,142,55,39,0,0,100,76,6
"Minnesota","Mille Lacs",2024,73,72,1,0,0,0,0,67,42,36,0,0,73,0,0
"Minnesota","Olmsted",2024,182,149,32,0,1,0,0,155,56,41,0,0,104,78,0
"Minnesota","Ramsey",2024,182,152,29,1,0,0,0,128,54,28,0,0,0,165,17
"Minnesota","Saint Louis",2024,244,223,20,1,0,0,0,114,48,37,0,0,209,35,0
"Minnesota","Scott",2024,182,136,45,1,0,0,0,138,62,42,0,0,92,90,0
"Minnesota","Stearns",2024,182,151,31,0,0,0,0,97,54,39,0,0,106,76,0
"Minnesota","Washington",2024,121,116,5,0,0,0,0,58,46,36,0,0,121,0,0
"Minnesota","Winona",2024,20,19,1,0,0,0,0,51,50,25,0,0,0,20,0
"Minnesota","Wright",2024,182,146,34,2,0,0,0,110,57,41,0,0,110,72,0
"Mississippi","Bolivar",2024,274,181,93,0,0,0,0,98,58,45,0,0,89,185,0
"Mississippi","DeSoto",2024,274,156,114,4,0,0,0,136,65,47,0,0,98,176,0
"Mississippi","Forrest",2024,271,174,97,0,0,0,0,76,59,43,0,0,0,271,0
"Mississippi","Hancock",2024,265,188,77,0,0,0,0,87,59,43,0,0,100,165,0
"Mississippi","Harrison",2024,269,183,83,3,0,0,0,115,62,44,0,0,127,142,0
"Mississippi","Hinds",2024,275,159,116,0,0,0,0,96,64,48,1,0,109,165,0
"Mississippi","Jackson",2024,272,180,92,0,0,0,0,93,60,44,0,0,114,158,0
"Mississippi","Lauderdale",2024,214,213,1,0,0,0,0,51,45,36,0,0,214,0,0
"Mississippi","Lee",2024,214,192,22,0,0,0,0,87,51,41,0,0,214,0,0
"Mississippi","Yalobusha",2024,235,223,12,0,0,0,0,74,48,39,0,0,235,0,0
"Missouri","Andrew",2024,126,111,15,0,0,0,0,74,51,44,0,0,126,0,0
"Missouri","Boone",2024,125,116,9,0,0,0,0,74,49,41,0,0,125,0,0
"Missouri","Buchanan",2024,178,116,62,0,0,0,0,76,57,41,0,0,0,167,11
"Missouri","Callaway",2024,128,121,7,0,0,0,0,64,50,41,0,0,128,0,0
"Missouri","Cass",2024,178,139,38,1,0,0,0,107,58,43,0,0,78,100,0
"Missouri","Cedar",2024,178,158,20,0,0,0,0,64,51,42,0,0,112,66,0
"Missouri","Clay",2024,178,139,38,1,0,0,0,108,61,44,0,0,110,68,0
"Missouri","Clinton",2024,122,105,17,0,0,0,0,87,54,44,0,0,122,0,0
"Missouri","Greene",2024,179,113,66,0,0,0,0,82,61,45,0,0,76,103,0
"Missouri","Jackson",2024,178,117,60,1,0,0,0,109,59,42,0,32,0,107,39
"Missouri","Jasper",2024,178,148,30,0,0,0,0,99,54,42,0,0,110,0,68
"Missouri","Jefferson",2024,179,142,36,1,0,0,0,105,54,41,0,0,92,87,0
"Missouri","Lincoln",2024,128,113,14,1,0,0,0,143,54,44,0,0,128,0,0
"Missouri","Monroe",2024,178,174,4,0,0,0,0,84,45,37,0,1,177,0,0
"Missouri","Perry",2024,120,106,14,0,0,0,0,93,51,43,0,0,120,0,0
"Missouri","Saint Charles",2024,129,92,36,1,0,0,0,129,67,44,0,0,129,0,0
"Missouri","Saint Louis",2024,180,143,36,1,0,0,0,122,54,42,0,21,108,51,0
"Missouri","Sainte Genevieve",2024,121,112,9,0,0,0,0,100,50,43,0,0,121,0,0
"Missouri","St. Louis City",2024,182,70,107,4,1,0,0,156,74,53,2,0,46,117,17
"Missouri","Stoddard",2024,20,18,2,0,0,0,0,56,56,28,0,0,0,20,0
"Missouri","Taney",2024,20,17,3,0,0,0,0,67,53,20,0,0,0,20,0
"Montana","Beaverhead",2024,167,167,0,0,0,0,0,46,17,9,0,0,0,167,0
"Montana","Cascade",2024,87,52,35,0,0,0,0,74,58,46,0,0,0,87,0
"Montana","Custer",2024,182,172,10,0,0,0,0,100,46,36,0,4,128,50,0
"Montana","Dawson",2024,173,169,3,1,0,0,0,120,30,12,0,0,0,173,0
"Montana","Fergus",2024,182,173,9,0,0,0,0,64,48,41,0,0,161,21,0
"Montana","Flathead",2024,241,207,34,0,0,0,0,77,53,39,0,0,177,53,11
"Montana","Gallatin",2024,245,212,33,0,0,0,0,84,55,22,10,8,0,227,0
"Montana","Glacier",2024,162,156,6,0,0,0,0,99,38,21,0,0,0,162,0
"Montana","Hill",2024,176,173,2,1,0,0,0,123,32,16,0,0,0,176,0
"Montana","Lake",2024,15,15,0,0,0,0,0,14,13,3,0,0,0,15,0
"Montana","Lewis and Clark",2024,183,130,52,1,0,0,0,116,64,44,1,0,122,60,0
"Montana","Lincoln",2024,182,119,63,0,0,0,0,99,67,39,0,0,0,181,1
"Montana","Missoula",2024,182,127,55,0,0,0,0,92,64,42,0,0,100,82,0
"Montana","Phillips",2024,180,177,2,1,0,0,0,135,34,18,0,0,0,180,0
"Montana","Powell",2024,20,19,1,0,0,0,0,53,22,9,0,0,0,20,0
"Montana","Ravalli",2024,182,157,25,0,0,0,0,89,58,16,0,0,0,182,0
"Montana","Richland",2024,182,174,7,1,0,0,0,115,45,36,0,0,125,53,4
"Montana","Roosevelt",2024,19,18,1,0,0,0,0,56,48,12,0,0,0,19,0
"Montana","Rosebud",2024,20,20,0,0,0,0,0,14,12,7,0,0,0,20,0
"Montana","Sanders",2024,180,170,10,0,0,0,0,65,43,22,0,0,0,91,89
"Montana","Sheridan",2024,19,18,1,0,0,0,0,53,43,11,0,0,0,19,0
"Montana","Silver Bow",2024,182,150,32,0,0,0,0,95,56,26,0,0,0,167,15
"Montana","Teton",2024,149,147,2,0,0,0,0,65,24,12,0,0,0,149,0
"Montana","Yellowstone",2024,175,158,17,0,0,0,0,64,50,38,0,4,125,46,0
"Nebraska","Cass",2024,232,217,15,0,0,0,0,68,44,18,0,0,0,0,232
"Nebraska","Douglas",2024,275,178,96,1,0,0,0,101,62,45,1,0,158,112,4
"Nebraska","Gage",2024,249,176,73,0,0,0,0,70,57,37,0,0,0,249,0
"Nebraska","Hall",2024,266,193,73,0,0,0,0,80,57,36,0,0,0,266,0
"Nebraska","Knox",2024,206,183,22,1,0,0,0,108,54,38,0,0,206,0,0
"Nebraska","Lancaster",2024,152,125,27,0,0,0,0,67,56,43,0,0,111,41,0
"Nebraska","Sarpy",2024,257,195,61,1,0,0,0,110,57,36,0,0,0,257,0
"Nebraska","Scotts Bluff",2024,246,226,20,0,0,0,0,88,46,11,0,0,0,246,0
"Nebraska","Washington",2024,269,207,62,0,0,0,0,81,57,33,0,0,0,269,0
"Nevada","Carson City",2024,182,146,35,1,0,0,0,105,58,44,0,0,160,22,0
"Nevada","Churchill",2024,182,152,29,1,0,0,0,105,54,44,0,0,182,0,0
"Nevada","Clark",2024,275,68,169,37,1,0,0,170,105,67,1,0,224,41,9
"Nevada","Douglas",2024,162,153,9,0,0,0,0,76,40,22,0,0,0,162,0
"Nevada","Elko",2024,182,182,0,0,0,0,0,43,26,12,0,0,0,0,182
"Nevada","Lyon",2024,180,162,18,0,0,0,0,90,51,42,0,0,180,0,0
"Nevada","Nye",2024,182,173,9,0,0,0,0,89,40,19,0,0,0,0,182
"Nevada","Washoe",2024,244,128,113,3,0,0,0,108,77,50,1,2,211,30,0
"Nevada","White Pine",2024,244,165,77,2,0,0,0,105,71,46,0,0,244,0,0
"New Hampshire","Belknap",2024,182,171,11,0,0,0,0,74,48,36,0,0,115,67,0
"New Hampshire","Cheshire",2024,182,152,30,0,0,0,0,93,55,38,0,0,132,50,0
"New Hampshire","Coos",2024,183,156,27,0,0,0,0,87,54,42,1,0,182,0,0
"New Hampshire","Grafton",2024,244,231,13,0,0,0,0,80,45,35,0,0,218,26,0
"New Hampshire","Hillsborough",2024,183,165,18,0,0,0,0,97,50,38,1,0,177,5,0
"New Hampshire","Merrimack",2024,122,113,9,0,0,0,0,74,48,39,0,0,122,0,0
"New Hampshire","Rockingham",2024,183,163,19,1,0,0,0,122,51,40,1,0,157,25,0
"New Jersey","Atlantic",2024,182,160,22,0,0,0,0,66,52,33,0,0,99,83,0
"New Jersey","Bergen",2024,183,140,39,3,1,0,0,156,59,41,1,46,88,48,0
"New Jersey","Camden",2024,182,112,70,0,0,0,0,97,63,44,0,7,94,81,0
"New Jersey","Cumberland",2024,178,151,27,0,0,0,0,100,52,39,0,3,141,34,0
"New Jersey","Gloucester",2024,182,131,48,3,0,0,0,129,67,42,0,0,117,65,0
"New Jersey","Hudson",2024,183,134,46,2,1,0,0,151,62,42,1,40,82,60,0
"New Jersey","Hunterdon",2024,182,135,47,0,0,0,0,100,63,41,0,0,125,57,0
"New Jersey","Mercer",2024,243,165,73,5,0,0,0,133,74,44,0,0,179,64,0
"New Jersey","Middlesex",2024,182,149,30,3,0,0,0,122,57,37,0,9,135,38,0
"New Jersey","Monmouth",2024,137,129,7,1,0,0,0,119,48,37,0,0,137,0,0
"New Jersey","Morris",2024,182,151,30,1,0,0,0,105,58,37,0,2,157,23,0
"New Jersey","Ocean",2024,182,142,39,1,0,0,0,115,61,42,0,0,121,61,0
"New Jersey","Passaic",2024,182,137,44,1,0,0,0,119,60,39,0,0,99,83,0
"New Jersey","Union",2024,183,112,71,0,0,0,0,85,61,44,1,43,0,139,0
"New Jersey","Warren",2024,175,136,37,2,0,0,0,108,58,38,0,19,110,46,0
"New Mexico","Bernalillo",2024,275,83,163,25,1,1,2,443,101,61,1,2,197,44,31
"New Mexico","Catron",2024,20,20,0,0,0,0,0,10,9,6,0,0,0,20,0
"New Mexico","Chaves",2024,20,16,4,0,0,0,0,62,58,23,0,0,0,20,0
"New Mexico","Dona Ana",2024,182,62,104,8,2,2,4,692,97,58,0,2,92,56,32
"New Mexico","Eddy",2024,244,108,106,27,3,0,0,172,101,54,0,0,242,2,0
"New Mexico","Lea",2024,180,126,54,0,0,0,0,93,71,44,0,0,146,34,0
"New Mexico","Lincoln",2024,20,20,0,0,0,0,0,26,18,7,0,0,0,20,0
"New Mexico","Los Alamos",2024,20,20,0,0,0,0,0,16,14,9,0,0,0,20,0
"New Mexico","Luna",2024,182,170,10,1,1,0,0,153,39,15,0,0,0,0,182
"New Mexico","Rio Arriba",2024,179,113,63,3,0,0,0,108,80,48,0,0,179,0,0
"New Mexico","San Juan",2024,272,165,99,8,0,0,0,108,87,47,0,2,269,0,1
"New Mexico","Sandoval",2024,182,142,40,0,0,0,0,87,67,44,0,0,182,0,0
"New Mexico","Santa Fe",2024,180,126,54,0,0,0,0,93,74,45,0,0,177,3,0
"New Mexico","Socorro",2024,20,20,0,0,0,0,0,26,19,7,0,0,0,20,0
"New Mexico","Taos",2024,181,181,0,0,0,0,0,46,31,14,0,0,0,181,0
"New Mexico","Valencia",2024,179,166,13,0,0,0,0,84,50,41,0,0,179,0,0
"New York","Albany",2024,274,203,71,0,0,0,0,100,62,38,0,0,155,119,0
"New York","Bronx",2024,275,176,97,2,0,0,0,150,71,44,1,17,143,114,0
"New York","Chautauqua",2024,273,241,31,1,0,0,0,105,54,38,0,0,266,7,0
"New York","Dutchess",2024,274,249,20,4,1,0,0,151,50,37,0,0,274,0,0
"New York","Erie",2024,304,207,96,1,0,0,0,105,61,42,0,6,140,157,1
"New York","Essex",2024,274,224,50,0,0,0,0,80,58,42,0,0,242,32,0
"New York","Hamilton",2024,263,255,8,0,0,0,0,74,44,35,0,0,263,0,0
"New York","Jefferson",2024,273,264,9,0,0,0,0,80,44,33,0,0,273,0,0
"New York","Kings",2024,274,181,93,0,0,0,0,89,62,40,0,0,0,274,0
"New York","Monroe",2024,275,195,80,0,0,0,0,90,58,39,1,1,114,159,0
"New York","New York",2024,275,182,90,3,0,0,0,150,71,43,1,0,157,117,0
"New York","Niagara",2024,223,201,21,1,0,0,0,105,50,37,0,0,223,0,0
"New York","Oneida",2024,257,216,41,0,0,0,0,68,53,27,0,0,0,257,0
"New York","Onondaga",2024,273,231,42,0,0,0,0,84,54,38,0,0,195,78,0
"New York","Orange",2024,264,225,39,0,0,0,0,79,53,27,0,0,0,264,0
"New York","Oswego",2024,271,266,5,0,0,0,0,61,44,33,0,0,271,0,0
"New York","Putnam",2024,273,248,18,7,0,0,0,136,49,35,0,0,273,0,0
"New York","Queens",2024,275,158,115,2,0,0,0,112,71,46,1,16,118,140,0
"New York","Richmond",2024,273,222,48,3,0,0,0,140,57,37,0,0,189,84,0
"New York","Rockland",2024,274,221,48,5,0,0,0,150,58,39,0,0,214,60,0
"New York","Saratoga",2024,267,256,11,0,0,0,0,84,46,33,0,0,267,0,0
"New York","Steuben",2024,275,236,39,0,0,0,0,68,53,38,1,0,216,58,0
"New York","Suffolk",2024,275,232,38,5,0,0,0,133,61,39,1,5,262,7,0
"New York","Tompkins",2024,240,232,8,0,0,0,0,71,47,36,0,0,240,0,0
"New York","Wayne",2024,272,258,14,0,0,0,0,87,47,35,0,0,272,0,0
"New York","Westchester",2024,274,219,49,6,0,0,0,143,64,38,0,0,215,59,0
"North Carolina","Alexander",2024,214,183,31,0,0,0,0,93,54,41,0,0,214,0,0
"North Carolina","Avery",2024,230,213,17,0,0,0,0,90,49,39,0,0,210,20,0
"North Carolina","Buncombe",2024,274,221,53,0,0,0,0,81,54,40,0,0,165,109,0
"North Carolina","Caldwell",2024,210,194,16,0,0,0,0,87,50,40,0,0,210,0,0
"North Carolina","Carteret",2024,243,236,7,0,0,0,0,71,46,37,0,0,243,0,0
"North Carolina","Caswell",2024,213,194,19,0,0,0,0,84,50,39,0,0,213,0,0
"North Carolina","Catawba",2024,174,118,56,0,0,0,0,93,58,42,0,0,0,174,0
"North Carolina","Cumberland",2024,274,195,78,1,0,0,0,110,61,44,0,0,178,95,1
"North Carolina","Davidson",2024,178,126,52,0,0,0,0,89,59,39,0,0,0,178,0
"North Carolina","Durham",2024,273,151,122,0,0,0,0,97,61,47,0,0,129,144,0
"North Carolina","Edgecombe",2024,264,235,29,0,0,0,0,80,51,37,0,0,177,87,0
"North Carolina","Forsyth",2024,244,134,106,4,0,0,0,122,74,49,0,3,127,114,0
"North Carolina","Graham",2024,203,157,46,0,0,0,0,90,61,45,0,0,203,0,0
"North Carolina","Granville",2024,214,176,37,1,0,0,0,101,64,42,0,0,214,0,0
"North Carolina","Guilford",2024,274,203,70,1,0,0,0,122,59,43,0,0,173,91,10
"North Carolina","Haywood",2024,233,176,56,1,0,0,0,101,61,46,0,0,214,19,0
"North Carolina","Hyde",2024,19,19,0,0,0,0,0,36,34,19,0,0,0,19,0
"North Carolina","Johnston",2024,272,214,58,0,0,0,0,84,60,42,0,0,172,100,0
"North Carolina","Lenoir",2024,274,261,13,0,0,0,0,77,47,34,0,0,214,0,60
"North Carolina","Lincoln",2024,212,192,20,0,0,0,0,80,50,40,0,0,212,0,0
"North Carolina","Macon",2024,242,228,14,0,0,0,0,71,47,37,0,0,242,0,0
"North Carolina","Martin",2024,214,213,1,0,0,0,0,61,44,33,0,0,214,0,0
"North Carolina","Mecklenburg",2024,275,133,138,3,1,0,0,156,67,51,1,0,117,157,0
"North Carolina","Mitchell",2024,179,153,26,0,0,0,0,83,53,26,0,0,0,179,0
"North Carolina","Montgomery",2024,243,187,56,0,0,0,0,83,57,41,0,0,155,88,0
"North Carolina","New Hanover",2024,274,232,42,0,0,0,0,97,54,38,0,0,172,102,0
"North Carolina","Northampton",2024,213,177,36,0,0,0,0,82,53,27,0,36,0,177,0
"North Carolina","Person",2024,212,194,18,0,0,0,0,77,50,40,0,0,212,0,0
"North Carolina","Pitt",2024,274,245,29,0,0,0,0,74,52,38,0,0,187,87,0
"North Carolina","Rockingham",2024,214,178,36,0,0,0,0,100,61,44,0,0,214,0,0
"North Carolina","Rowan",2024,271,210,61,0,0,0,0,97,59,42,0,1,193,77,0
"North Carolina","Swain",2024,272,238,34,0,0,0,0,83,52,38,0,0,172,100,0
"North Carolina","Union",2024,214,183,31,0,0,0,0,97,58,41,0,0,214,0,0
"North Carolina","Wake",2024,274,196,77,1,0,0,0,112,61,42,0,0,186,88,0
"North Carolina","Yancey",2024,204,167,37,0,0,0,0,84,58,44,0,0,204,0,0
"North Dakota","Billings",2024,274,217,47,9,1,0,0,172,64,40,0,0,209,65,0
"North Dakota","Burke",2024,274,224,41,8,1,0,0,178,60,39,0,0,194,75,5
"North Dakota","Burleigh",2024,275,190,75,9,1,0,0,174,67,42,1,1,154,115,4
"North Dakota","Cass",2024,274,211,61,1,1,0,0,158,59,40,0,0,153,121,0
"North Dakota","Dunn",2024,273,220,45,5,3,0,0,157,64,39,0,0,194,78,1
"North Dakota","McKenzie",2024,274,215,51,6,2,0,0,172,64,40,0,0,207,67,0
"North Dakota","Mercer",2024,274,223,45,4,2,0,0,167,60,38,0,0,189,85,0
"North Dakota","Oliver",2024,274,214,53,5,2,0,0,162,63,39,0,0,189,85,0
"North Dakota","Ward",2024,274,217,48,7,2,0,0,152,63,39,0,0,168,106,0
