age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
28,student,single,primary,no,4214,yes,no,cellular,25,sep,58,1,197,1,unknown,yes
20,housemaid,married,primary,no,36913,yes,yes,cellular,2,feb,850,4,354,5,failure,yes
50,management,single,tertiary,no,25552,yes,yes,cellular,16,nov,702,6,53,8,success,no
23,self-employed,single,primary,no,33377,no,no,telephone,8,jan,672,8,103,7,success,yes
67,management,married,primary,no,23734,no,no,telephone,16,jul,689,4,241,9,success,yes
27,housemaid,married,secondary,no,22721,yes,no,telephone,8,apr,929,1,72,3,success,yes
22,blue-collar,single,primary,yes,16610,yes,no,telephone,23,oct,623,9,312,5,unknown,no
40,blue-collar,single,secondary,no,11622,no,no,cellular,30,aug,933,3,102,8,unknown,yes
27,housemaid,single,secondary,no,26875,yes,no,telephone,13,mar,499,6,219,9,failure,no
61,technician,divorced,secondary,no,21226,yes,no,cellular,26,jul,390,8,14,9,success,yes
19,technician,married,tertiary,no,25677,yes,no,cellular,6,jul,883,5,27,3,failure,no
30,student,divorced,secondary,no,8298,no,yes,telephone,1,nov,624,7,262,8,success,no
57,services,divorced,primary,no,33848,yes,no,cellular,2,oct,953,9,354,7,unknown,yes
19,entrepreneur,married,primary,no,31755,no,no,telephone,7,sep,991,1,377,2,failure,yes
82,student,married,secondary,no,15744,no,no,cellular,13,nov,614,8,181,8,other,no
80,management,divorced,secondary,no,21434,no,no,cellular,27,apr,384,2,50,4,failure,yes
34,unemployed,married,primary,no,38314,yes,no,cellular,4,oct,755,1,345,0,other,no
26,entrepreneur,single,secondary,no,46001,no,no,cellular,9,jan,55,4,331,7,failure,no
32,management,single,tertiary,no,-274,yes,no,telephone,19,jul,319,6,104,4,unknown,yes
41,technician,divorced,secondary,no,46917,yes,yes,unknown,20,oct,100,8,23,4,other,yes
55,housemaid,divorced,tertiary,no,12268,yes,no,cellular,3,dec,891,1,90,1,unknown,no
52,services,married,tertiary,no,44745,yes,no,cellular,23,jun,718,1,327,8,failure,no
66,management,married,tertiary,yes,-1093,no,no,cellular,2,nov,118,2,375,5,unknown,yes
86,technician,divorced,secondary,no,23759,yes,no,telephone,16,jan,206,9,24,9,success,yes
79,services,divorced,tertiary,no,49976,yes,yes,cellular,10,sep,998,4,88,2,other,yes
77,student,single,tertiary,no,11764,yes,no,unknown,28,oct,56,7,173,6,success,yes
67,housemaid,single,secondary,no,22409,no,no,cellular,12,aug,990,3,340,1,other,yes
26,self-employed,married,tertiary,no,6390,yes,no,telephone,18,oct,318,1,383,6,unknown,yes
51,blue-collar,single,secondary,no,28172,no,no,cellular,2,apr,869,1,394,1,unknown,yes
52,retired,married,primary,no,33223,no,no,cellular,14,may,846,9,28,4,success,yes
18,services,married,tertiary,no,35976,no,yes,cellular,12,aug,604,4,12,9,success,no
57,self-employed,married,secondary,no,38542,yes,no,telephone,20,feb,957,3,128,9,failure,no
81,self-employed,single,primary,no,45324,no,no,telephone,24,jun,560,5,129,8,success,yes
39,services,divorced,tertiary,no,46196,yes,no,cellular,24,oct,513,1,4,8,other,no
77,self-employed,divorced,tertiary,no,1365,no,yes,cellular,24,feb,463,3,209,5,other,yes
81,management,single,secondary,no,23836,no,yes,unknown,8,dec,522,4,147,2,other,yes
89,self-employed,divorced,primary,no,26554,yes,no,unknown,23,nov,307,6,274,3,failure,yes
28,technician,married,secondary,no,19663,no,no,cellular,22,aug,375,9,147,3,failure,no
31,entrepreneur,divorced,tertiary,no,3951,yes,no,cellular,28,may,608,3,38,8,other,no
77,management,single,tertiary,no,13175,yes,yes,cellular,7,dec,267,4,194,3,success,yes
47,self-employed,divorced,tertiary,no,9027,yes,no,telephone,13,oct,166,5,369,3,unknown,yes
52,student,married,tertiary,yes,40273,no,yes,cellular,15,mar,192,8,122,4,failure,no
54,blue-collar,married,primary,no,8094,no,no,cellular,14,feb,868,9,69,5,success,yes
22,housemaid,single,primary,no,21081,no,no,cellular,5,apr,876,3,197,7,failure,yes
43,self-employed,single,secondary,no,10167,no,no,cellular,8,aug,929,3,31,0,failure,no
79,admin.,single,secondary,no,6769,yes,no,cellular,18,jan,322,7,305,4,unknown,no
21,blue-collar,married,secondary,no,21060,no,no,cellular,5,oct,57,9,88,8,failure,no
59,student,divorced,tertiary,no,-980,yes,yes,cellular,23,mar,285,1,88,9,failure,no
35,technician,divorced,secondary,no,9845,no,yes,telephone,9,jan,934,1,371,3,unknown,yes
57,self-employed,single,primary,no,34612,no,no,unknown,10,feb,832,2,333,7,other,yes
89,technician,divorced,secondary,no,34341,yes,no,cellular,17,oct,653,6,274,8,failure,yes
56,self-employed,divorced,secondary,no,8485,yes,no,cellular,27,nov,781,3,273,0,failure,yes
31,retired,single,primary,no,36210,yes,no,cellular,25,jul,784,8,197,7,other,no
49,entrepreneur,single,primary,no,5914,no,no,telephone,3,jan,694,5,54,7,other,yes
68,technician,married,tertiary,no,38719,yes,no,telephone,1,sep,294,3,235,4,other,no
55,entrepreneur,married,primary,no,6802,yes,no,telephone,7,aug,986,8,-1,9,other,no
40,blue-collar,married,primary,no,39288,no,no,telephone,15,jan,593,8,165,1,success,no
80,unemployed,married,secondary,yes,31314,yes,no,cellular,19,oct,510,2,35,6,other,yes
32,retired,divorced,primary,no,46298,yes,no,cellular,8,jan,430,5,272,4,other,no
42,housemaid,divorced,tertiary,no,17565,no,yes,cellular,11,feb,489,3,77,4,other,yes
34,management,married,secondary,no,25617,yes,no,telephone,2,feb,806,7,240,5,success,no
83,entrepreneur,married,tertiary,no,39766,no,yes,cellular,20,jun,595,2,132,9,unknown,yes
70,retired,single,primary,no,23609,yes,no,unknown,28,jan,162,9,250,7,other,yes
68,unemployed,divorced,tertiary,no,42233,yes,no,telephone,2,apr,220,2,355,0,success,no
56,entrepreneur,divorced,tertiary,no,18371,yes,no,telephone,11,jul,153,2,20,2,failure,no
68,services,married,primary,no,46384,yes,no,cellular,20,dec,460,6,265,6,unknown,no
87,student,divorced,primary,no,17124,no,no,cellular,28,sep,247,3,216,8,success,no
23,housemaid,single,secondary,no,10717,no,no,telephone,17,oct,906,3,70,9,other,yes
84,student,single,secondary,no,46193,yes,yes,cellular,29,mar,432,2,7,1,unknown,yes
24,self-employed,divorced,secondary,no,35669,yes,no,cellular,10,apr,351,5,395,3,success,no
68,entrepreneur,married,primary,no,24272,yes,no,unknown,5,may,330,5,385,3,success,no
89,self-employed,divorced,tertiary,no,9842,yes,no,telephone,3,may,100,7,133,6,success,yes
59,admin.,single,tertiary,no,36476,yes,no,cellular,9,feb,998,8,193,4,success,yes
81,entrepreneur,married,secondary,yes,82,no,no,telephone,20,may,243,8,300,4,success,no
32,retired,divorced,secondary,no,24261,yes,no,cellular,22,oct,903,3,56,6,success,yes
46,housemaid,married,primary,no,18970,yes,yes,cellular,25,jan,574,6,282,1,success,yes
50,self-employed,married,tertiary,no,7795,yes,no,cellular,2,jul,403,5,285,7,success,no
44,entrepreneur,single,secondary,no,43309,yes,no,telephone,23,may,365,4,306,5,failure,yes
53,admin.,married,primary,no,31028,no,no,cellular,19,jun,200,6,249,4,failure,yes
46,student,divorced,secondary,no,18180,yes,no,cellular,17,sep,373,4,391,0,other,yes
55,retired,married,primary,no,44335,yes,no,cellular,25,mar,485,8,89,1,other,no
74,services,married,tertiary,no,25351,yes,no,unknown,25,jan,891,9,202,5,other,yes
44,entrepreneur,divorced,primary,yes,36750,no,no,cellular,12,aug,439,1,6,5,other,no
72,services,single,secondary,no,31268,yes,no,cellular,27,feb,330,1,106,8,other,no
50,blue-collar,single,secondary,yes,-985,no,yes,cellular,20,feb,525,4,231,5,other,yes
85,housemaid,divorced,tertiary,no,41293,yes,no,cellular,9,oct,320,6,340,0,failure,no
83,entrepreneur,divorced,tertiary,no,22489,no,no,cellular,23,apr,778,8,272,6,failure,yes
27,technician,single,secondary,no,34731,no,no,telephone,4,may,878,1,118,2,failure,no
22,admin.,married,secondary,no,9866,yes,yes,cellular,28,jan,466,3,303,7,success,no
55,self-employed,divorced,secondary,no,43015,no,no,unknown,18,nov,131,4,9,5,success,yes
30,unemployed,married,tertiary,no,33474,no,no,cellular,16,mar,39,2,371,2,other,yes
48,technician,divorced,secondary,no,13272,yes,no,cellular,29,nov,70,9,384,2,unknown,no
64,blue-collar,single,tertiary,no,30161,yes,no,cellular,21,aug,399,3,181,7,failure,yes
69,housemaid,married,secondary,no,99,no,no,cellular,24,jun,155,4,307,5,unknown,yes
73,student,married,primary,no,4386,no,no,unknown,10,mar,814,4,177,1,other,no
32,retired,divorced,primary,no,3338,no,no,telephone,26,dec,412,1,204,2,failure,yes
46,services,married,secondary,no,49717,no,no,cellular,22,jul,356,5,90,5,unknown,yes
25,blue-collar,divorced,primary,no,6300,no,no,cellular,12,nov,479,5,225,6,failure,no
22,self-employed,single,tertiary,no,19400,no,no,cellular,30,jun,552,2,4,3,unknown,no
46,retired,married,primary,no,22641,yes,no,cellular,28,may,860,1,354,7,other,yes
64,student,divorced,primary,no,2297,yes,yes,telephone,11,aug,736,5,10,2,other,no
85,self-employed,married,tertiary,no,17332,no,no,telephone,5,aug,971,5,248,5,success,no
62,admin.,divorced,primary,no,39173,yes,yes,cellular,20,mar,561,7,375,6,unknown,no
19,services,divorced,primary,no,45862,yes,no,cellular,11,aug,938,2,196,7,failure,yes
44,unemployed,divorced,secondary,no,13201,no,no,cellular,16,oct,302,8,125,3,unknown,yes
53,technician,single,tertiary,no,43382,yes,no,unknown,15,sep,531,5,35,4,success,no
53,entrepreneur,married,tertiary,no,44129,yes,no,cellular,6,dec,776,5,379,5,success,no
43,blue-collar,single,secondary,no,31808,yes,no,cellular,13,oct,516,9,6,0,success,yes
60,entrepreneur,divorced,secondary,no,10810,no,no,cellular,16,mar,957,2,163,8,success,no
44,unemployed,divorced,primary,no,5988,no,no,cellular,27,nov,256,2,118,2,failure,no
86,retired,single,primary,no,38327,yes,no,cellular,3,aug,256,5,230,1,failure,yes
37,entrepreneur,single,primary,no,48139,yes,no,telephone,18,aug,895,1,223,6,success,no
28,technician,married,secondary,no,17579,yes,no,unknown,1,dec,370,5,370,3,failure,yes
55,management,divorced,tertiary,no,19483,yes,no,cellular,25,jul,301,5,231,3,success,no
23,retired,single,primary,yes,-1497,yes,no,cellular,17,aug,820,8,285,9,other,yes
89,services,divorced,secondary,no,3344,yes,no,cellular,27,jan,424,6,224,8,success,yes
40,self-employed,divorced,tertiary,no,6947,yes,no,telephone,20,mar,153,6,393,6,other,yes
64,unemployed,married,secondary,no,7533,yes,no,cellular,6,jun,939,5,143,8,success,yes
63,services,married,primary,yes,45576,yes,yes,telephone,9,dec,224,5,248,0,success,yes
29,entrepreneur,married,secondary,no,38916,no,no,telephone,4,jul,612,8,270,2,failure,no
30,housemaid,single,secondary,no,44923,no,no,cellular,7,jul,773,1,284,9,other,yes
79,retired,divorced,secondary,no,13193,no,no,cellular,23,nov,202,9,37,9,failure,yes
77,unemployed,single,secondary,no,-619,no,no,telephone,29,jun,232,6,42,5,success,yes
60,self-employed,single,tertiary,no,5012,yes,no,cellular,30,dec,62,9,370,0,other,yes
85,student,married,primary,no,13213,no,no,cellular,22,dec,240,2,35,4,success,no
22,admin.,divorced,tertiary,no,25563,yes,yes,cellular,25,dec,842,3,254,3,other,yes
54,services,divorced,secondary,no,13212,no,no,cellular,11,nov,723,1,209,3,unknown,yes
89,services,married,secondary,no,28124,no,no,telephone,26,apr,782,5,90,6,other,yes
48,retired,divorced,primary,no,44576,no,no,cellular,23,may,80,2,17,4,unknown,yes
26,housemaid,married,primary,no,8711,no,no,cellular,3,sep,912,1,98,6,success,no
68,entrepreneur,single,tertiary,no,28266,no,yes,telephone,16,jan,921,9,393,0,success,yes
46,unemployed,single,tertiary,no,45941,no,no,cellular,6,feb,884,9,145,8,failure,yes
57,entrepreneur,married,primary,no,49039,yes,no,telephone,7,may,436,6,67,7,unknown,yes
58,retired,single,tertiary,no,7515,no,no,cellular,12,may,570,8,128,6,failure,no
28,services,single,secondary,yes,18193,yes,no,cellular,7,dec,547,9,23,9,unknown,yes
40,self-employed,married,secondary,no,42707,no,no,cellular,29,jul,964,5,113,1,success,no
18,unemployed,single,primary,no,131,yes,yes,unknown,22,aug,162,2,88,5,failure,no
63,admin.,divorced,tertiary,no,424,yes,no,telephone,19,oct,125,4,284,3,unknown,yes
38,unemployed,single,secondary,no,42344,no,no,cellular,22,jun,453,3,271,2,failure,no
53,retired,married,primary,no,19823,yes,no,unknown,16,jun,887,7,339,7,success,no
71,self-employed,divorced,tertiary,no,7200,no,no,telephone,18,may,111,8,210,3,unknown,yes
74,self-employed,divorced,secondary,no,48469,yes,no,cellular,10,may,818,5,109,2,other,yes
18,student,single,tertiary,no,21031,no,yes,cellular,29,nov,344,2,346,4,unknown,yes
80,unemployed,divorced,tertiary,no,1216,no,no,cellular,1,aug,758,9,74,8,success,yes
71,unemployed,married,tertiary,no,43594,no,yes,cellular,8,may,945,1,294,9,unknown,no
72,technician,divorced,primary,no,-1984,yes,yes,cellular,3,jun,309,5,388,2,failure,yes
57,management,single,secondary,yes,35438,yes,no,cellular,30,mar,672,3,86,8,success,yes
32,admin.,single,primary,no,24378,no,no,cellular,16,may,115,8,399,3,success,yes
38,blue-collar,divorced,secondary,no,33391,yes,yes,cellular,24,sep,869,8,168,9,other,no
64,housemaid,married,secondary,no,29734,yes,no,cellular,3,mar,395,1,145,3,other,yes
70,management,married,primary,no,11350,no,no,cellular,2,aug,854,4,365,1,failure,no
26,student,single,primary,no,47281,yes,no,cellular,12,nov,395,8,238,7,failure,no
69,unemployed,single,secondary,no,12450,yes,no,cellular,8,jul,122,9,53,3,unknown,no
74,admin.,married,secondary,no,-527,yes,no,unknown,19,apr,100,9,90,2,failure,no
43,entrepreneur,divorced,secondary,no,23525,yes,no,cellular,24,may,355,2,251,2,failure,no
58,management,divorced,tertiary,no,26572,no,yes,cellular,18,aug,536,9,155,0,failure,yes
52,entrepreneur,divorced,secondary,no,40028,yes,no,cellular,20,oct,355,8,367,7,unknown,yes
80,housemaid,divorced,primary,yes,35079,no,no,cellular,25,jul,873,9,249,4,success,no
42,entrepreneur,married,primary,no,28110,yes,yes,telephone,15,oct,220,9,262,4,success,yes
55,housemaid,single,primary,no,33504,yes,yes,cellular,17,oct,243,3,6,3,unknown,yes
19,admin.,single,secondary,no,24888,yes,yes,cellular,18,feb,76,5,323,4,failure,no
24,services,divorced,secondary,no,-54,yes,yes,cellular,18,aug,759,3,297,4,other,yes
51,housemaid,married,tertiary,yes,19943,no,no,cellular,9,aug,118,6,96,8,unknown,no
34,self-employed,married,tertiary,no,13740,no,no,cellular,26,sep,816,5,48,5,other,no
60,blue-collar,divorced,primary,no,24445,yes,no,cellular,5,feb,256,2,211,8,failure,yes
76,blue-collar,divorced,tertiary,no,47452,no,no,cellular,11,apr,426,3,2,7,success,no
68,retired,divorced,tertiary,no,7176,yes,no,telephone,29,feb,246,7,362,2,other,yes
71,blue-collar,single,primary,no,27866,yes,no,cellular,4,apr,781,5,290,1,other,yes
41,retired,divorced,secondary,no,42651,yes,no,cellular,26,mar,330,3,387,5,other,yes
42,unemployed,single,tertiary,no,35269,no,yes,cellular,10,jul,445,4,239,1,other,no
88,blue-collar,married,secondary,no,9618,yes,no,unknown,4,may,955,6,17,2,success,yes
69,housemaid,married,primary,no,22736,no,no,cellular,23,jul,882,8,364,2,success,yes
87,self-employed,single,primary,no,36682,yes,yes,cellular,3,feb,923,7,397,0,other,yes
50,services,single,tertiary,no,22601,yes,yes,cellular,25,apr,199,3,268,4,unknown,yes
66,entrepreneur,single,primary,no,30850,yes,no,cellular,16,jun,394,2,302,7,success,yes
46,student,single,primary,no,39132,no,no,cellular,21,dec,261,3,326,8,success,no
80,blue-collar,divorced,primary,no,48150,no,no,unknown,11,may,649,5,199,6,failure,no
39,services,married,tertiary,yes,3804,yes,yes,cellular,9,nov,357,7,102,4,failure,no
43,services,divorced,tertiary,no,17525,no,no,telephone,1,feb,262,8,329,7,unknown,yes
45,housemaid,single,tertiary,yes,43061,yes,no,cellular,10,dec,711,6,362,8,unknown,no
66,admin.,divorced,primary,no,25419,no,no,telephone,12,jul,676,2,364,8,failure,yes
88,admin.,divorced,secondary,no,21746,no,no,cellular,30,feb,672,2,80,8,failure,no
66,blue-collar,married,primary,no,10812,no,no,cellular,24,sep,66,5,317,1,other,no
37,student,divorced,tertiary,no,24686,no,no,unknown,2,jul,800,5,53,2,failure,yes
80,blue-collar,married,secondary,no,33852,yes,no,cellular,15,dec,431,1,286,1,unknown,no
78,blue-collar,single,secondary,no,45,no,no,unknown,30,mar,665,1,234,4,unknown,no
66,retired,divorced,tertiary,no,23336,yes,yes,cellular,24,jun,455,9,162,2,failure,no
88,self-employed,single,secondary,no,47356,yes,no,unknown,20,may,934,7,363,8,unknown,no
18,self-employed,married,secondary,no,43952,yes,no,cellular,16,dec,982,8,83,1,success,no
30,student,single,tertiary,no,28460,yes,yes,telephone,2,sep,437,5,217,4,unknown,no
68,retired,single,secondary,no,45143,yes,no,cellular,13,mar,804,3,366,4,other,no
73,services,married,secondary,no,19668,yes,no,cellular,18,feb,894,3,360,4,success,no
79,unemployed,single,tertiary,no,32320,yes,yes,telephone,29,feb,246,3,211,0,success,no
49,retired,single,secondary,no,38584,yes,no,telephone,22,apr,199,1,201,9,success,no
47,blue-collar,single,secondary,no,30575,no,no,cellular,19,jan,639,3,311,6,failure,no
46,admin.,divorced,secondary,no,31592,yes,no,cellular,11,sep,387,2,298,1,other,no
66,management,single,secondary,no,34516,no,no,cellular,14,mar,215,8,240,1,failure,yes
62,student,married,tertiary,no,3578,yes,no,cellular,30,may,754,6,160,8,other,yes
47,services,divorced,primary,no,35965,yes,no,cellular,26,feb,899,5,177,0,unknown,no
33,housemaid,divorced,primary,no,39798,yes,no,telephone,3,aug,853,1,90,8,unknown,yes
57,management,married,secondary,no,19079,yes,no,cellular,9,nov,773,2,136,5,unknown,yes
36,management,single,tertiary,no,49113,no,no,cellular,5,nov,983,2,110,4,success,yes
35,retired,divorced,tertiary,no,-1063,no,no,unknown,14,mar,943,7,394,4,unknown,no
18,entrepreneur,divorced,secondary,no,5595,yes,no,cellular,7,may,708,7,167,4,other,no
64,management,divorced,primary,no,-1576,yes,no,cellular,12,jul,847,6,385,5,success,no
83,blue-collar,single,secondary,no,42270,no,no,telephone,21,feb,190,8,319,6,failure,yes
55,technician,divorced,tertiary,no,1051,yes,no,telephone,18,mar,313,4,99,8,success,no
68,admin.,married,tertiary,no,33673,yes,no,telephone,11,aug,213,9,294,1,failure,yes
80,unemployed,single,primary,no,29342,no,yes,telephone,27,oct,566,8,191,3,failure,yes
21,admin.,married,tertiary,no,10238,yes,no,cellular,24,aug,171,3,356,4,failure,yes
18,technician,married,tertiary,no,25786,no,no,cellular,9,mar,724,3,205,5,success,no
25,self-employed,divorced,tertiary,no,27668,no,no,telephone,11,oct,625,9,284,6,unknown,no
46,blue-collar,divorced,primary,yes,694,yes,no,cellular,18,dec,260,9,214,2,failure,no
72,housemaid,divorced,tertiary,no,1595,yes,yes,cellular,2,jul,497,5,226,2,other,no
20,management,married,secondary,no,-733,yes,no,telephone,20,nov,932,1,359,8,other,no
49,self-employed,single,primary,no,-1579,yes,no,telephone,13,feb,417,3,41,8,other,yes
27,blue-collar,divorced,secondary,no,17650,no,no,cellular,15,sep,764,5,179,1,other,no
51,retired,divorced,secondary,no,5017,no,yes,unknown,8,aug,187,4,345,3,failure,no
72,admin.,married,primary,no,7849,yes,yes,telephone,5,sep,347,4,284,3,other,no
49,self-employed,single,secondary,no,49252,yes,no,unknown,5,sep,214,1,295,4,success,yes
67,student,married,primary,no,21513,yes,no,unknown,7,jul,450,6,42,1,other,yes
24,management,divorced,secondary,no,47117,yes,yes,cellular,12,apr,212,4,35,3,other,yes
25,management,married,primary,no,42899,no,yes,telephone,20,dec,626,1,371,2,unknown,no
82,housemaid,divorced,tertiary,no,39644,no,no,cellular,12,dec,606,6,247,5,success,no
74,entrepreneur,single,tertiary,no,226,yes,no,telephone,9,may,81,5,388,3,success,no
84,student,married,secondary,no,2388,yes,yes,telephone,4,jul,32,5,81,0,unknown,yes
76,management,divorced,tertiary,no,422,no,no,cellular,8,may,106,2,378,2,other,no
89,services,divorced,primary,yes,37994,yes,no,cellular,19,dec,676,1,255,7,failure,no
71,student,divorced,secondary,no,7269,no,no,cellular,22,oct,867,7,215,2,success,no
84,management,divorced,tertiary,no,10177,yes,no,telephone,1,aug,611,5,8,6,failure,yes
68,technician,married,tertiary,no,10032,no,no,telephone,23,may,703,3,236,1,failure,yes
25,student,divorced,secondary,no,42276,no,no,cellular,11,may,637,6,24,4,other,yes
51,blue-collar,married,tertiary,no,5316,no,no,cellular,23,may,45,3,249,6,failure,no
52,student,divorced,tertiary,no,843,no,no,telephone,13,apr,259,6,213,0,failure,yes
49,unemployed,married,secondary,no,26015,no,no,cellular,18,nov,933,6,143,0,failure,no
63,housemaid,married,tertiary,no,2111,no,no,cellular,21,dec,946,9,318,7,unknown,yes
33,retired,divorced,tertiary,no,43231,no,no,cellular,20,nov,918,8,220,1,unknown,no
85,retired,divorced,tertiary,yes,20043,no,no,unknown,10,dec,296,1,322,3,other,no
54,retired,divorced,tertiary,no,28101,no,no,telephone,13,jul,335,7,16,2,success,no
71,blue-collar,divorced,secondary,no,44546,yes,no,cellular,25,feb,884,9,337,4,other,yes
31,self-employed,single,primary,no,49055,yes,no,cellular,12,oct,35,2,226,1,success,no
72,retired,divorced,primary,no,34992,no,yes,cellular,13,apr,139,9,234,5,failure,yes
65,unemployed,divorced,tertiary,no,25870,yes,yes,telephone,2,nov,172,6,364,7,success,yes
24,admin.,divorced,tertiary,no,35747,no,no,cellular,3,mar,936,3,344,4,success,no
24,blue-collar,married,primary,no,47577,yes,no,cellular,29,oct,696,8,274,6,success,yes
50,self-employed,divorced,tertiary,no,33169,yes,no,cellular,17,aug,236,7,119,4,success,no
40,admin.,married,primary,no,39709,no,no,unknown,26,jul,458,8,60,5,unknown,no
36,admin.,married,secondary,no,27415,no,no,cellular,21,mar,195,8,329,8,failure,no
36,admin.,married,secondary,no,13685,yes,no,cellular,19,apr,289,7,185,9,success,no
53,services,married,secondary,yes,13963,no,no,telephone,12,apr,714,1,23,0,success,no
46,housemaid,single,secondary,no,27698,no,yes,unknown,16,dec,423,8,378,9,failure,no
77,housemaid,divorced,secondary,no,27150,yes,yes,cellular,20,oct,150,5,337,8,success,yes
19,blue-collar,married,secondary,no,47195,yes,yes,cellular,20,jul,979,2,94,2,other,no
18,unemployed,divorced,primary,no,19426,yes,no,cellular,22,aug,442,2,319,9,success,no
64,unemployed,married,tertiary,no,48711,yes,no,cellular,10,apr,169,2,191,2,other,no
86,unemployed,single,primary,no,4035,yes,no,cellular,23,aug,981,9,252,3,other,no
37,admin.,married,secondary,no,5071,yes,no,cellular,23,jan,197,5,65,7,other,yes
28,technician,divorced,tertiary,no,18578,yes,no,cellular,15,sep,113,3,312,0,unknown,no
19,student,divorced,tertiary,yes,26044,no,no,telephone,30,jul,450,6,38,3,unknown,yes
84,self-employed,single,secondary,no,26842,yes,no,cellular,27,apr,735,9,222,6,failure,no
29,housemaid,divorced,secondary,no,14531,no,yes,cellular,8,aug,817,9,354,2,other,yes
37,retired,divorced,secondary,no,170,yes,yes,cellular,19,dec,297,9,390,6,unknown,yes
22,blue-collar,married,secondary,yes,22687,no,no,cellular,5,oct,67,4,220,4,other,no
54,self-employed,divorced,secondary,no,35886,no,yes,cellular,12,feb,955,5,101,9,unknown,yes
55,blue-collar,married,secondary,no,5297,yes,no,telephone,10,aug,332,1,316,8,failure,no
26,technician,single,tertiary,no,2163,no,no,cellular,22,oct,367,6,246,7,failure,no
70,services,divorced,secondary,no,38794,no,no,telephone,14,jun,783,2,160,2,unknown,yes
61,services,married,secondary,yes,39787,no,no,cellular,28,jul,359,7,262,3,unknown,yes
41,admin.,divorced,tertiary,no,40712,no,no,cellular,22,jul,228,4,23,6,other,yes
47,services,married,primary,no,33707,yes,no,cellular,12,feb,839,4,152,1,failure,no
76,blue-collar,single,secondary,no,36495,yes,yes,cellular,24,nov,34,9,217,9,success,yes
31,retired,married,tertiary,no,42688,yes,no,telephone,13,feb,461,1,252,5,other,no
26,admin.,divorced,tertiary,no,22448,yes,no,telephone,21,apr,400,6,213,8,unknown,no
57,management,married,primary,no,1616,yes,no,cellular,21,jun,924,2,167,8,other,no
83,unemployed,divorced,secondary,no,36173,no,no,cellular,17,apr,896,6,78,5,success,no
42,self-employed,single,secondary,no,29748,yes,yes,cellular,1,jun,132,7,70,5,failure,no
39,technician,married,secondary,no,26299,no,no,unknown,22,may,464,3,61,5,success,yes
21,admin.,divorced,tertiary,no,41237,yes,no,cellular,10,jun,937,4,73,9,unknown,yes
43,blue-collar,divorced,secondary,no,39119,yes,no,cellular,26,sep,679,2,261,5,unknown,yes
75,self-employed,divorced,secondary,no,9557,yes,no,cellular,5,jun,834,7,96,2,unknown,yes
46,retired,married,secondary,no,36648,yes,no,cellular,11,jun,410,9,83,3,unknown,yes
54,entrepreneur,married,secondary,no,12096,no,yes,cellular,10,nov,95,5,323,5,unknown,yes
87,technician,married,primary,yes,31781,no,no,cellular,6,nov,608,5,304,9,success,no
35,blue-collar,single,primary,no,6743,yes,yes,cellular,15,aug,299,9,376,0,failure,yes
59,technician,divorced,primary,no,5391,no,no,cellular,9,may,76,8,271,0,failure,yes
58,housemaid,divorced,secondary,no,48327,no,no,cellular,8,may,945,1,147,6,other,no
55,entrepreneur,single,secondary,yes,7355,yes,no,cellular,23,oct,394,2,4,0,other,yes
51,self-employed,single,tertiary,no,3247,no,no,cellular,23,nov,910,7,107,4,other,yes
34,services,married,tertiary,no,38286,no,no,cellular,6,jan,209,3,197,9,unknown,no
54,blue-collar,married,tertiary,no,4290,yes,yes,cellular,6,jun,97,6,329,7,failure,yes
42,technician,married,secondary,no,32076,no,yes,cellular,17,jan,144,1,336,5,unknown,no
44,self-employed,married,primary,no,40452,yes,yes,cellular,12,nov,55,8,36,2,other,yes
74,services,married,primary,no,23817,yes,no,cellular,7,aug,588,2,317,1,unknown,no
48,retired,married,primary,no,43491,yes,yes,cellular,5,oct,236,1,126,1,success,no
23,retired,single,secondary,no,35595,no,no,cellular,16,sep,102,2,138,3,other,yes
57,technician,single,primary,no,48929,no,no,cellular,23,jun,288,8,246,8,failure,yes
29,admin.,single,tertiary,no,30827,yes,no,unknown,6,sep,415,5,257,8,failure,no
70,housemaid,divorced,tertiary,no,24209,yes,no,cellular,8,feb,966,9,145,0,other,yes
88,admin.,divorced,primary,no,37754,yes,no,unknown,3,sep,59,3,341,4,failure,yes
27,housemaid,married,tertiary,no,30118,no,no,telephone,8,apr,450,8,193,8,failure,no
62,blue-collar,single,primary,no,41411,yes,no,cellular,29,mar,32,4,213,3,other,yes
34,unemployed,divorced,primary,no,13216,no,no,unknown,7,jan,550,7,375,6,other,no
43,management,divorced,tertiary,no,5860,no,no,cellular,17,jan,549,8,239,5,unknown,yes
79,technician,single,tertiary,no,11425,no,no,cellular,19,aug,550,3,131,3,unknown,yes
63,student,divorced,tertiary,no,11806,yes,no,cellular,26,feb,917,3,27,9,success,no
81,unemployed,divorced,tertiary,yes,45718,yes,no,cellular,20,jan,430,1,96,6,failure,no
19,technician,single,primary,no,22911,yes,yes,cellular,14,feb,693,8,362,6,other,yes
71,entrepreneur,divorced,tertiary,no,23406,no,yes,cellular,25,mar,997,2,387,1,success,no
82,services,single,tertiary,no,32360,no,yes,cellular,28,apr,683,7,180,6,failure,yes
68,entrepreneur,divorced,secondary,no,12464,yes,no,cellular,6,nov,979,7,150,8,failure,no
